Cd Comite;Cd Etat;CD_STATION;Cd Type Pe;Code;Géométrie;Lb Comite;Lb Etat;Lb Type Pe;Necessaire;NID;NOM;Nombre d'enregistrements;Type;VID;lat;long
FR000003;4MO;02207X0029/F;1;SAGE03019;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59095;Yerres;1;sage;134395;48,645988444;2,764929877
FR000002;4MO;01145X0146/F-P5;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,328055865;6,154658216
FR000004;4MO;02504X0007/F2;1;SAGE04027;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59109;Sarthe amont;1;sage;134595;48,547419685;-0,025613125
FR000006;4MO;06754X0059/P;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;46,060623187;5,384679460
FR000001;4MO;00385X0021/P1;1;SAGE01010;POLYGON;Artois-Picardie;Mis en oeuvre;Périmètre à dominante eau de surface;0;59167;Sambre;1;sage;130906;50,030350192;3,658711928
FR000003;4MO;02133X0012/F-AEP9;1;SAGE03021;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59127;Orne amont;1;sage;134378;48,728361595;0,226391547
FR000005;3EL;10841X0019/HY;1;SAGE05004;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;59101;Neste-Ourse;1;sage;134373;42,781898743;0,391543345
FR000003;5REV1;01038X0211/P5;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,351790558;2,514359276
FR000002;4MO;01381X0086/P13;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,317305123;6,147285248
FR000005;3EL;08072X0011/F;1;SAGE05027;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;95934;Dordogne Atlantique;1;sage;134358;44,928114698;0,800824782
FR000004;4MO;02887X0002/P1;1;SAGE04019;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59130;Huisne;1;sage;134270;48,286208705;0,611336738
FR000002;4MO;01381X0099/P12;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,321437553;6,142886314
FR000004;4MO;05735X0004/P1AEP;1;SAGE04036;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59141;Cher amont;1;sage;130988;46,699990628;2,510969038
FR000003;4MO;02217X0009/F1;1;SAGE03019;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59095;Yerres;1;sage;134395;48,625875317;3,089109016
FR000005;3EL;07577X0022/F;1;SAGE05018;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;1;59075;Isle - Dronne;1;sage;140670;45,243655940;0,173378091
FR000003;5REV1;01047X0239/P1;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,360878853;2,765350701
FR000002;4MO;01138X0184/G14BIS;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,347561149;6,031991624
FR000004;4MO;02407X0027/PUITS;1;SAGE04014;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59123;Aulne;1;sage;135643;48,410397177;-3,667402356
FR000006;4MO;06758X0052/HY;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,971237640;5,364695114
FR000003;5REV1;01047X0240/P2;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,357141523;2,766611728
FR000002;4MO;01137X0151/S;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,342151473;5,985362837
FR000003;4MO;02212X0020/F;1;SAGE03019;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59095;Yerres;1;sage;134395;48,748030107;2,978143503
FR000003;5REV1;01047X0091/P;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,352284620;2,773473737
FR000004;4MO;04257X0032/F;1;SAGE04031;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59138;Loir;1;sage;135115;47,572498765;0,265051249
FR000006;4MO;06754X0040/007A;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,999431835;5,331441481
FR000003;4MO;01543X0029/P;1;SAGE03012;MULTIPOLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59087;Nonette;1;sage;134374;49,096916884;2,731946695
FR000005;4MO;10066X0013/F;1;SAGE05012;POLYGON;Adour-Garonne;Mis en oeuvre;Périmètre à dominante eau de surface;1;59107;Adour amont;1;sage;136292;43,437568206;0,091063602
FR000003;4MO;00608X0060/HY;1;SAGE03020;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59096;Vallée de la Bresle;1;sage;134389;49,703339994;1,750702642
FR000006;4MO;06754X0065/P2;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,994951131;5,314578121
FR000006;4MO;06754X0071/P00060;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,984844351;5,344274928
FR000004;4MO;03898X0049/AEP;1;SAGE04009;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;1;59153;Oudon;1;sage;140681;47,735554792;-1,101455671
FR000004;4MO;05735X0005/P2AEP;1;SAGE04036;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59141;Cher amont;1;sage;130988;46,694150192;2,516250128
FR000001;3EL;00285X0059/P1;1;SAGE01011;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59170;Escaut;1;sage;140901;50,308315998;3,346167631
FR000006;4MO;06758X0059/HY;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,939369734;5,351481423
FR000004;4MO;02585X0091/F;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,526240986;2,556515507
FR000001;3EL;00143B0027/F1;1;SAGE01013;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59171;Marque Deûle;1;sage;136139;50,734538148;3,121276644
FR000005;3EL;10841X0039/HY;1;SAGE05004;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;59101;Neste-Ourse;1;sage;134373;42,755306368;0,455803202
FR000002;4MO;01396X0202/G2;2;SAGE02008;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59082;Bassin Houiller;1;sage;136207;49,188955602;6,610085754
FR000003;4MO;02121X0020/F1;1;SAGE03007;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59136;Orne moyenne;1;sage;134380;48,703842210;-0,325860115
FR000004;4MO;02754X0010/P1;1;SAGE04026;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59210;Elorn;1;sage;130830;48,381267902;-4,034113998
FR000004;4MO;02581X0007/HY;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,521586828;2,562015474
FR000001;3EL;00143B0026/F2;1;SAGE01013;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59171;Marque Deûle;1;sage;136139;50,759477166;3,134983763
FR000004;3EL;04627X0035/FAEP;1;SAGE04029;POLYGON;Loire-Bretagne;Élaboration;Périmètre à dominante eau de surface;0;59110;Sauldre;1;sage;119070;47,382697542;2,425404468
FR000002;4MO;01396X0201/G1;2;SAGE02008;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59082;Bassin Houiller;1;sage;136207;49,199584096;6,609206077
FR000001;3EL;00144D0129/F1;1;SAGE01013;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59171;Marque Deûle;1;sage;136139;50,673823273;3,157174967
FR000004;4MO;02522X0003/S1;1;SAGE04027;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59109;Sarthe amont;1;sage;134595;48,558862946;0,503475955
FR000004;4MO;05202X0101/FAEP2;1;SAGE04025;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59137;Yèvre Auron;1;sage;140826;47,065031786;2,664841125
FR000006;4MO;06758X0055/HY;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,944329150;5,346175990
FR000001;4MO;00305X0392/F1;1;SAGE01010;POLYGON;Artois-Picardie;Mis en oeuvre;Périmètre à dominante eau de surface;0;59167;Sambre;1;sage;130906;50,279995785;4,002466201
FR000002;4MO;01146X0171/P6;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,387687882;6,212519768
FR000005;4MO;10535X0009/HY;1;SAGE05012;POLYGON;Adour-Garonne;Mis en oeuvre;Périmètre à dominante eau de surface;1;59107;Adour amont;1;sage;136292;43,087271396;0,022440026
FR000003;3EL;02601X0019/F1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,590064734;3,302511056
FR000003;2IN;00814X0065/P;1;SAGE03030;POLYGON;Seine-Normandie;Instruction;Périmètre à dominante eau de surface;0;87911;Oise moyenne;1;sage;134375;49,604415328;2,852819547
FR000004;4MO;02754X0001/HY;1;SAGE04026;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59210;Elorn;1;sage;130830;48,410215432;-4,072193252
FR000004;4MO;04892X0028/FAEP;1;SAGE04037;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59146;Cher aval;1;sage;136540;47,227677634;1,137923555
FR000003;3EL;02601X0025/S1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,586639055;3,272779369
FR000004;4MO;02524X0010/C1;1;SAGE04019;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59130;Huisne;1;sage;134270;48,518200967;0,606312017
FR000006;4MO;06993X0204/P0052;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,861180113;5,207121619
FR000004;4MO;05373X0533/P;1;SAGE04011;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59119;Sèvre Nantaise;1;sage;135443;47,032370903;-0,841443533
FR000003;3EL;02601X0129/S1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,580784945;3,286550449
FR000006;4MO;06993X0125/P;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,885558985;5,221018353
FR000001;4MO;00305X0292/F1;1;SAGE01010;POLYGON;Artois-Picardie;Mis en oeuvre;Périmètre à dominante eau de surface;0;59167;Sambre;1;sage;130906;50,274028827;4,007140844
FR000004;4MO;05202X0010/FAEP1;1;SAGE04025;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59137;Yèvre Auron;1;sage;140826;47,060989226;2,675580840
FR000004;5REV1;05112X0004/F;1;SAGE04010;POLYGON;Loire-Bretagne;Première révision;Périmètre à dominante eau de surface;0;59118;Layon - Aubance;1;sage;136287;47,094343631;-0,614349517
FR000003;4MO;02147X0006/HY;1;SAGE03017;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59094;Risle et Charentonne;1;sage;134918;48,697544567;0,569679529
FR000005;3EL;08312X0010/HY;1;SAGE05027;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;95934;Dordogne Atlantique;1;sage;134358;44,732112333;0,886286790
FR000003;3EL;02601X0024/S1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,582400362;3,284304495
FR000006;4MO;06757X0040/F1;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,963150277;5,288643697
FR000003;4MO;02216X0023/F3;1;SAGE03019;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59095;Yerres;1;sage;134395;48,686140965;2,960469608
FR000001;3EL;00617X0038/F;1;SAGE01016;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59197;Somme aval et Cours d'eau côtiers;1;sage;136288;49,692439669;2,008378210
FR000006;4MO;06993X0157/000155;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,873801114;5,233518368
FR000005;3EL;07341X0007/F;1;SAGE05018;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;1;59075;Isle - Dronne;1;sage;140670;45,467888004;0,433521967
FR000005;3EL;10718X0026/HY;1;SAGE05004;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;59101;Neste-Ourse;1;sage;134373;42,872431360;0,349783596
FR000006;4MO;06993X0131/P1;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,876086703;5,230636961
FR000003;3EL;02602X0013/P1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,560196608;3,312814002
FR000003;4MO;01854X0011/F;1;SAGE03023;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59181;Petit et Grand Morin;1;sage;134381;48,908871613;3,167993240
FR000003;5REV1;01047X0243/F3;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,333986474;2,699296502
FR000001;4MO;00305X0393/FE2;1;SAGE01010;POLYGON;Artois-Picardie;Mis en oeuvre;Périmètre à dominante eau de surface;0;59167;Sambre;1;sage;130906;50,264110838;4,007271859
FR000004;4MO;02883X0009/C1;1;SAGE04019;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59130;Huisne;1;sage;134270;48,378717740;0,533625942
FR000004;4MO;03114X0041/P1;1;SAGE04014;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59123;Aulne;1;sage;135643;48,172254047;-3,679381815
FR000003;5REV1;01047X0233/F2;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,331687791;2,709626188
FR000004;4MO;04925X0007/PAEP3;1;SAGE04025;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59137;Yèvre Auron;1;sage;140826;47,183920091;2,174092729
FR000002;4MO;01141X0006/F;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,418324239;6,168799164
FR000003;5REV1;01047X0226/F;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,337913241;2,710832254
FR000004;4MO;04585X0190/FAEP;1;SAGE04037;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59146;Cher aval;1;sage;136540;47,341682281;0,728111439
FR000004;4MO;02581X0077/F1;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,516007132;2,518662125
FR000003;5REV1;00808X0010/P;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,541171783;2,532242217
FR000002;4MO;01141X0023/F3;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,415815778;6,145929041
FR000005;3EL;10718X0020/HY;1;SAGE05004;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;59101;Neste-Ourse;1;sage;134373;42,880458772;0,352186003
FR000005;3EL;08078X0030/F;1;SAGE05023;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;84908;Dordogne amont;1;sage;134357;44,855030898;1,036944286
FR000002;4MO;01141X0015/F;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,393652280;6,154303297
FR000004;4MO;02581X0064/F;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,512790806;2,512484423
FR000004;4MO;03472X0020/P1;1;SAGE04056;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;85072;Sud Cornouaille;1;sage;135830;48,043869916;-3,820286504
FR000002;4MO;01654X0011/25;2;SAGE02008;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59082;Bassin Houiller;1;sage;136207;49,136476201;6,797518193
FR000005;3EL;07598X0002/HY;1;SAGE05018;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;1;59075;Isle - Dronne;1;sage;140670;45,235169217;1,014840964
FR000003;3EL;01045X0081/F1;1;SAGE03034;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;0;113153;Brèche;1;sage;140828;49,405312387;2,535740586
FR000003;3EL;02594X0012/S1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,532095278;3,242150587
FR000006;4MO;06761X0018/242A2;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;46,069609679;5,439180100
FR000004;4MO;02528X0004/C1;1;SAGE04019;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59130;Huisne;1;sage;134270;48,433208143;0,699969341
FR000003;3EL;02594X0014/S1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,530966520;3,209618854
FR000006;4MO;06761X0016/068B;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;46,059412152;5,449254651
FR000001;3EL;00368X0053/SO1;1;SAGE01011;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59170;Escaut;1;sage;140901;50,081315324;3,256316773
FR000003;3EL;01041X0003/P;1;SAGE03034;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;0;113153;Brèche;1;sage;140828;49,424782173;2,525204590
FR000003;4MO;02142X0034/C2;1;SAGE03017;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59094;Risle et Charentonne;1;sage;134918;48,749867070;0,461542283
FR000006;4MO;06761X0019/242A3;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;46,066743967;5,436636364
FR000003;3EL;02594X0015/S1;1;SAGE03028;POLYGON;Seine-Normandie;Élaboration;Périmètre à dominante eau de surface;1;59151;Bassée Voulzie;1;sage;140849;48,541288521;3,239498485
FR000004;5REV1;04218X0002/S2;1;SAGE04001;POLYGON;Loire-Bretagne;Première révision;Périmètre à dominante eau de surface;0;59117;Estuaire de la Loire;1;sage;135862;47,532472721;-1,068700165
FR000003;4MO;02142X0018/C1;1;SAGE03017;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59094;Risle et Charentonne;1;sage;134918;48,728153619;0,465815077
FR000004;4MO;04915X0023/F3AEP3;1;SAGE04037;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59146;Cher aval;1;sage;136540;47,205175260;1,886028069
FR000006;4MO;06518X0015/HY;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;46,084725692;5,385161335
FR000003;4MO;01756X0011/F2;1;SAGE03007;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59136;Orne moyenne;1;sage;134380;48,837795868;-0,548012137
FR000004;4MO;04564X0154/FAEP;1;SAGE04031;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59138;Loir;1;sage;135115;47,489576356;0,287310748
FR000005;3EL;07818X0033/F4;1;SAGE05018;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;1;59075;Isle - Dronne;1;sage;140670;45,053000299;0,347890299
FR000004;4MO;02946X0044/HY2;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,281191943;2,641101623
FR000003;4MO;01785X0003/P1;1;SAGE03017;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59094;Risle et Charentonne;1;sage;134918;48,828720436;0,382835108
FR000003;4MO;02124X0014/F;1;SAGE03021;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59127;Orne amont;1;sage;134378;48,699369384;-0,014381526
FR000001;3EL;00805X0010/P;1;SAGE01016;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59197;Somme aval et Cours d'eau côtiers;1;sage;136288;49,590878941;2,202631583
FR000001;3EL;00375X0143/F1;1;SAGE01011;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59170;Escaut;1;sage;140901;50,093713732;3,235535726
FR000005;3EL;07348X0017/F;1;SAGE05018;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;1;59075;Isle - Dronne;1;sage;140670;45,454223367;0,702349777
FR000006;4MO;06756X0054/HY;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,909690315;5,178196165
FR000004;4MO;02946X0043/HY1;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,284609550;2,685429519
FR000004;4MO;02752X0001/PE;1;SAGE04026;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59210;Elorn;1;sage;130830;48,430935991;-4,187555193
FR000002;4MO;01141X0024/P;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,440413693;6,128936168
FR000003;4MO;02136X0001/F;1;SAGE03021;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59127;Orne amont;1;sage;134378;48,627002507;0,180365190
FR000006;4MO;06525X0061/P;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;46,064886237;5,425327467
FR000003;2IN;00818X0054/HY;1;SAGE03030;POLYGON;Seine-Normandie;Instruction;Périmètre à dominante eau de surface;0;87911;Oise moyenne;1;sage;134375;49,542055469;2,784787701
FR000004;4MO;04916X0001/PAEP;1;SAGE04037;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59146;Cher aval;1;sage;136540;47,191385731;1,912721152
FR000003;5REV1;01044X0061/PC;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,432952471;2,800954963
FR000001;3EL;00368X0026/P1;1;SAGE01011;POLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59170;Escaut;1;sage;140901;50,112831766;3,236448883
FR000004;4MO;02946X0007/P1;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,247669003;2,675113310
FR000003;4MO;02137X0011/S1;1;SAGE03021;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59127;Orne amont;1;sage;134378;48,599204621;0,165333162
FR000001;3EL;00364X0033/F1;1;SAGE01009;MULTIPOLYGON;Artois-Picardie;Élaboration;Périmètre à dominante eau de surface;0;59166;Sensée;1;sage;136347;50,196364147;3,173847129
FR000004;4MO;02946X0097/F;2;SAGE04021;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau souterraine;1;59133;Nappe de Beauce et milieux aquatiques associés;1;sage;134697;48,283908051;2,678459959
FR000005;3EL;07344X0007/HY;1;SAGE05018;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;1;59075;Isle - Dronne;1;sage;140670;45,454691833;0,704051889
FR000005;3EL;10718X0005/HY;1;SAGE05004;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;59101;Neste-Ourse;1;sage;134373;42,849073589;0,336569139
FR000003;4MO;02136X0004/111111;1;SAGE03021;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59127;Orne amont;1;sage;134378;48,625135988;0,140994881
